index,created_at,tweet_id,credible,author_id,text,urls,name,username,verified,location,followers_count,following_count,tweet_count,like_count,quote_count,reply_count,retweet_count,retweet_author_id,retweet_id,retweeted_screen_name,user_mentions_id,user_mentions_screen_name,in_reply_to_user_id,in_reply_to_tweet_id,in_reply_to_username,reference_type,reference_id
505430,2021-03-01 16:06:05-04:00,1366479878548242437,1,912140384834289665,"Thank you to Prime Minister @narendramodi and our friends from India for donating 25,000 doses of the AstraZeneca COVID-19 Vaccine to Saint Lucia🇱🇨🇮🇳 https://t.co/afWoQVZMtd","twitter.com,twitter.com,twitter.com,twitter.com,",Allen M. Chastanet,allenmchastanet,False,Saint Lucia,2970,75,420,14279,82,118,2362,#,#,#,18839785,narendramodi,#,#,#,#,#
487885,2021-03-01 11:31:40-08:00,1366471217742405632,1,11347122,"NEW: CA has now administered over 9 million #COVID19 vaccines.

Our test positivity rate has dropped to 2.3%.

Today we report 3,516 cases of COVID-19.

6 weeks ago, we were reporting over 50k cases.

Vaccine rates are up. COVID-19 rates are down.

Progress.",#,Gavin Newsom,GavinNewsom,True,California,2052558,22088,15863,13438,267,771,1744,#,#,#,#,#,#,#,#,#,#
298717,#,1366377451643805698,1,207809313,"PM @narendramodi took an early morning drive to AIIMS in New Delhi today without disturbing normal traffic. He filled the required form, took the COVID vaccine Jab and waited for 30 minutes under observation.

While leading from the front, he has behaved like a common citizen! https://t.co/gLhQVktsRj","twitter.com,",BJP,BJP4India,True,"6-A, Deen Dayal Upadhyay Marg,",19756353,3,238216,13073,95,345,2532,#,#,#,18839785,narendramodi,#,#,#,#,#
123919,2021-03-01 10:39:45+05:30,1366254307620900866,1,131188226,"We feel immensely happy and blessed that Hon PM Sri @narendramodi chose to wear a Gamosa while getting his first dose of vaccine at AIIMS. It shows how much he values this symbol of Assamese culture and heritage. 

Forever in gratitude 🙏

#Assam @PMOIndia https://t.co/bCtiGf4PF7","twitter.com,",Himanta Biswa Sarma,himantabiswa,True,"Guwahati,India",1780496,121,32296,13072,33,100,1076,#,#,#,18839785,narendramodi,#,#,#,#,#
425015,2021-03-01 12:33:08-05:00,1366441386673901584,1,1339835893,Incredible news. https://t.co/S8VlXkNbSF,"academictimes.com,",Hillary Clinton,HillaryClinton,True,"New York, NY",31597483,985,13865,12270,172,284,2058,#,#,#,#,#,#,#,#,#,#
580767,2021-03-01 16:43:00-06:00,1366519366129442817,1,1323730225067339784,The American Rescue Plan will launch community vaccination centers and deploy mobile vaccination units in hard to reach areas — making sure everyone who wants one has access to vaccines.,#,The White House,WhiteHouse,True,United States of America,8352934,5,5080,12093,67,290,1906,#,#,#,#,#,#,#,#,#,#
291469,2021-03-01 08:00:46-05:00,1366372843966070785,1,60087571,"NEW: A second Democrat, @nikkifried, calls for an investigation of Florida governor Ron DeSantis over vaccine distribution.

https://t.co/1gPeVI8lSf","news.yahoo.com,",alexander nazaryan,alexnazaryan,True,dc,33994,2560,85232,11711,189,333,2625,#,#,#,37190669,NikkiFried,#,#,#,#,#
427986,2021-03-01 12:38:18-05:00,1366442688296456192,1,45874278,BREAKING: The first @UPS truck carrying the Johnson &amp; Johnson vaccine just arrived at the Worldport hub in Louisville. More trucks carrying the vaccine will arrive throughout the day. Deliveries start TOMORROW. https://t.co/Aud092wQ24,"twitter.com,",Pete Muntean,petemuntean,True,"Washington, DC",13460,2743,10496,11517,476,145,1946,#,#,#,158129535,UPS,#,#,#,#,#
273256,2021-03-01 07:14:39-05:00,1366361237873971204,1,16409618,"Every story about Massachusetts “reopening” today would benefit from a reminder that a restaurant worker, teacher, or school staff under the age of 65 with one severe comorbidity cannot get a vaccine in Massachusetts today.",#,Alex Goldstein,alexjgoldstein,True,"Waltham, MA",17353,3730,18087,11396,133,105,3187,#,#,#,#,#,#,#,#,#,#
307883,2021-03-01 19:10:22+05:30,1366382808231419905,1,318673863,"Today, 2 fake news by NDTV:

1. Supreme Court judges to be vaccinated from tomorrow, can choose between 2 vaccines.

2. Uday Kotak, CEO, Kotak Mahindra Bank said that Vaccine hesitancy does seem to be there now as it was a month ago.

Both news are now deleted without apology. https://t.co/9EpJruFdSo","twitter.com,twitter.com,",Anshul Saxena,AskAnshul,True,Hindistan,1122686,543,23482,10504,237,265,3825,#,#,#,#,#,#,#,#,#,#
254008,2021-03-01 07:18:57-04:00,1366347219377528833,1,1133737532443766784,"Thanking PM Modi for the 500K AstraZeneca  vaccines that he generously and selflessly shared with the Caribbean to assist in the fight against COVID.

📸circa 2019.
@PMOIndia @IndiainGuyana @drkjsrini https://t.co/mrx4Dcl8z9","twitter.com,",OPMAntiguaBarbuda,AntiguaOpm,False,Antigua and Barbuda,1289,102,1382,10113,49,86,1287,#,#,#,471741741,PMOIndia,#,#,#,#,#
360904,2021-03-01 21:02:01+05:30,1366410907912310787,1,990577808928886784,Did @narendramodi sir pay for vaccination ??,#,Dr Kafeel Khan,drkafeelkhan,True,"Gorakhpur, India",246287,195,11403,10080,787,2459,1020,#,#,#,18839785,narendramodi,#,#,#,#,#
322675,2021-03-01 19:42:24+05:30,1366390869469798401,1,856530759116402690,Went to a hospital. Patiently waited for my turn to take the corona vaccine. A lady doctor recognised me and insisted on giving it personally to my wife and me. She appreciated that we behaved like aam admi. But I always do so and will always do so.,#,Yashwant Sinha,YashwantSinha,True,India,264791,24,1063,9417,92,603,752,#,#,#,#,#,#,#,#,#,#
218308,2021-03-01 09:34:40+00:00,1366320977223835648,1,19644592,"As @pritipatel churns another 'lock 'em up' headline, remember - Tories have shut half of police stations, are refusing to put police up queue for vaccine, have a Home Sec who breaks ministerial code, a Health Sec who boasts of lawbreaking, a PM who lies when lips move",#,ALASTAIR CAMPBELL,campbellclaret,True,London,960250,9361,93366,8823,56,163,2432,#,#,#,61660254,pritipatel,#,#,#,#,#
357918,2021-03-01 20:56:22+05:30,1366409482754949120,1,1324334436,"A true leader of the people, by the people &amp; for the people

Today, PM @NarendraModi ji reached AIIMS early in the morning without disturbing normal traffic. He filled the required form, took the COVID-19 vaccine jab &amp; waited for 30 minutes under observation

#LargestVaccineDrive https://t.co/LJXrNWAkaG","twitter.com,",Piyush Goyal,PiyushGoyal,True,India,11633361,570,42605,8401,51,239,1355,#,#,#,18839785,narendramodi,#,#,#,#,#
97192,2021-03-01 09:34:57+05:30,1366238001265733634,1,137656171,"Leading by example! 

PM shri @narendramodi ji taking a made in India vaccine shot which automatically rubbishes all the claims and questions raised against the hard work that our scientists put in making this vaccine https://t.co/NuM6jcyR6W","twitter.com,",Ashish Chauhan,ashishchauhan,True,"Mumbai, Maharashtra",168219,1660,171415,8181,20,108,507,#,#,#,18839785,narendramodi,#,#,#,#,#
379776,2021-03-01 11:08:04-05:00,1366419980783284224,1,389313566,"Q: Why I never comment on COVAXIN (Bharat Biotech) Vaccine?

A: Because phase 3 trials are not published. I like to work with data.
That’s it. No other reason. 

As they say “meaningful silence is better than meaningless words.”",#,"Faheem Younus, MD",FaheemYounus,True,"Maryland, USA",501131,396,5246,8026,96,183,1531,#,#,#,#,#,#,#,#,#,#
411872,2021-03-01 11:07:44-06:00,1366434994026147853,1,22677397,"If you’ve had the China virus..... should you take the vaccine?

I did..... and I’m not.",#,Juanita Broaddrick,atensnut,False,"Fort Smith, Arkansas",612539,7756,37307,7958,112,897,846,#,#,#,#,#,#,#,#,#,#
334220,2021-03-01 14:38:05+00:00,1366397333425053697,1,247217109,"On Monday, 1st March 2021, my beautiful Rebecca and I were at the 37 Military Hospital to take the COVID-19 vaccine publicly. The vaccine is safe, and it will help protect us against the impact of COVID-19 on our health. 1/2 https://t.co/4MVXOioOIo","twitter.com,twitter.com,twitter.com,twitter.com,",Nana Akufo-Addo,NAkufoAddo,True,Ghana,2501699,375,8421,7810,112,395,1219,#,#,#,#,#,#,#,#,#,#
9447,2021-02-28 17:18:10-07:00,1366180930369458177,1,292929271,"Donald Trump rightly set the record straight tonight

Biden inherited:

—A modern medical miracle in Operation Warp Speed

—3 vaccines delivered in less than a year

—A n unparalleled vaccine distribution network

Do NOT let Joe Biden take credit for a single Trump accomplishment",#,Charlie Kirk,charliekirk11,True,"Phoenix, AZ",1768149,193905,52057,7678,66,249,1899,#,#,#,#,#,#,#,#,#,#
314505,2021-03-01 08:54:54-05:00,1366386467841454081,1,467823431,"We continue our work to vaccinate every single American.

What are the diminished sycophants doing?

Worshiping a golden idol.",#,Hakeem Jeffries,RepJeffries,True,"Brooklyn, NY",666358,1065,5094,7636,50,155,1687,#,#,#,#,#,#,#,#,#,#
168014,2021-03-01 12:41:08+05:30,1366284856037023746,1,355989081,Odisha Chief Minister Naveen Patnaik took his first dose of #COVID19Vaccine today. https://t.co/iwKvMyim90,"twitter.com,",ANI,ANI,True,India,7280978,0,593513,7290,11,27,282,#,#,#,#,#,#,#,#,#,#
55845,2021-03-01 08:03:32+05:30,1366214996850585602,1,1368737382,"This indeed is a “Confidence instilling” picture
Our PM lead the war against Corona in an exemplary way,saved innumerable lives by timely &amp; rightful interventions.
Finally He leads one of the world’s largest vaccine drives
Let’s all follow our beloved PM’s appeal
#ThankYouModiJi https://t.co/tqEvY6YkPk","twitter.com,",Sambit Patra,sambitswaraj,True,Delhi,6683180,606,63653,7269,41,201,910,#,#,#,#,#,#,#,#,#,#
592135,2021-03-01 23:09:28+00:00,1366526026059116545,1,3277891994,Trump and Melania getting the vaccine while saying covid is a hoax https://t.co/BmRbltsz6b,"twitter.com,",Josiah Johnson,KingJosiah54,True,The Field,260896,5555,52552,6910,60,51,1210,#,#,#,#,#,#,#,#,#,#
542129,2021-03-01 14:20:45-07:00,1366498669898391552,1,940409602155282432,I don’t care that Trump developed the vaccine. I’m not taking it.,#,Maggie McCarthy,FogCityMidge,False,Arizona USA,121710,2587,11234,6864,112,582,546,#,#,#,#,#,#,#,#,#,#
114323,#,1366247968530046978,1,332188446,"Entertainers, sportsmen &amp; political leaders from all parties must join in &amp; get vaccinated on camera.

This PR outreach is necessary to eliminate vaccine hesitancy. The faster India gets vaccinated, the more lives &amp; livelihoods we save.
https://t.co/tiNEBfkj3n","www.news18.com,",Milind Deora | मिलिंद देवरा ☮️,milinddeora,True,🌏,1699996,401,10700,6774,73,147,794,#,#,#,#,#,#,#,#,#,#
606092,2021-03-01 16:45:01-07:00,1366534975764406273,1,1063742394,I just received my first COVID-19 vaccine. I didn't even feel the needle. It's easy. The happy nurse told me that she often watches my videos. I was happy to receive it from my fan.,#,Gurdeep Pandher of the Yukon,GurdeepPandher,True,"Yukon, Canada",215210,945,7739,6772,6,61,154,#,#,#,#,#,#,#,#,#,#
75419,2021-03-01 08:46:34+05:30,1366225825184423943,1,1065563383,Waits for his turn acc to rules .. On the day becomes first person to get vaccinated ... goes to AIIMS as a common man ... No wonder some elitists who keeps jumping order at every turn of life always find fault at him ... PM @narendramodi gets first jab of vaccine at @aiims_nd https://t.co/FSE6yqnkLV,"twitter.com,",B L Santhosh,blsanthosh,True,"New Delhi, India",420125,342,5500,6513,23,82,1067,#,#,#,18839785,narendramodi,#,#,#,#,#
33571,2021-02-28 17:43:55-08:00,1366202508545167362,1,216620491,"The first legal vaccination in the Philippines. The person vaccinated is PGH director Dr Gap Legaspi. The first vaccinator is nurse Sherlock Santos. 

Screenshots from PTV

@rapplerdotcom https://t.co/NEUeFylxTc","twitter.com,twitter.com,",Pia Ranada,piaranada,True,"Stanford, CA",65923,1114,22649,6192,836,115,738,#,#,#,330826792,rapplerdotcom,#,#,#,#,#
207389,2021-03-01 09:02:34+00:00,1366312897660538881,1,247217109,I will take the vaccine this morning at the 37 Military Hospital. #TheVaccineIsSafe #IWillTakeTheVaccine https://t.co/kUkL36pwqU,"twitter.com,",Nana Akufo-Addo,NAkufoAddo,True,Ghana,2392222,360,8230,6184,101,475,890,#,#,#,#,#,#,#,#,#,#
464438,2021-03-01 13:47:47-05:00,1366460172999266312,1,242827267,"State media, who in my opinion are PMO mouthpieces, are out beating the drum for an early election today. 

With the worst joblessness, deficit &amp; vaccine rates in the G7, we should be talking about Trudeau’s resignation, not a promotion.",#,Pierre Poilievre,PierrePoilievre,True,"Ottawa, Ontario",537163,1202,12362,6040,206,656,1613,#,#,#,#,#,#,#,#,#,#
197149,2021-03-01 14:03:19+05:30,1366305538535878658,1,887606425479856128,"I took my first dose of COVID-19 vaccine at Government Medical College, Chennai today. 

I will be taking the 2nd dose after 28 days.

I appeal to all the eligible people to get themselves vaccinated proactively and join in the fight against novel coronavirus. https://t.co/mfA1xJXiGg","twitter.com,twitter.com,",Vice President of India,VPSecretariat,True,"New Delhi, India",1313994,2,22574,5831,22,47,730,#,#,#,#,#,#,#,#,#,#
30505,#,1366200836058193922,1,1185212394634727424,"this is what happens when you take the ""safe"" COVID vaccine.
Why is it the government is shielding us from these side effects? https://t.co/hLXEqrsSWW","twitter.com,",Gators Daily 🐊,GatorsDaily,False,info@gators-daily.com,542222,695,13770,5811,62,85,755,#,#,#,#,#,#,#,#,#,#
31477,2021-03-01 07:09:25+05:30,1366201377953746944,1,355989081,Prime Minister Narendra Modi took his first dose of #COVID19 vaccine at AIIMS Delhi https://t.co/ftsr3AANCs,"twitter.com,",ANI,ANI,True,India,7279302,0,593279,5800,29,63,511,#,#,#,#,#,#,#,#,#,#
416367,2021-03-01 11:16:42-06:00,1366437253006917636,1,1064603540956565504,"NEW: Minnesota is now 5th in the nation for vaccination (and improving all the time). Yesterday alone we reported 70,000 vaccines administered, a new high!",#,Governor Tim Walz,GovTimWalz,True,"Minnesota, USA",205593,953,4661,5763,115,322,425,#,#,#,#,#,#,#,#,#,#
85262,2021-03-01 09:08:34+05:30,1366231361678241795,1,75193964,"A true leader , leads from the front! This is ATMANIRBHAR , ATMAVISHWAS . https://t.co/sKLTS1tpTZ","twitter.com,",Dinesh Trivedi,DinTri,True,India,16713,237,2457,5755,25,74,684,#,#,#,#,#,#,#,#,quoted,1366230756423426051
426818,2021-03-01 17:36:20+00:00,1366442190315094020,1,5402612,"Single shot of either Oxford-AstraZeneca or Pfizer-BioNTech Covid vaccine reduces chance of needing hospital treatment by more than 80%, analysis in England shows

https://t.co/0fUoRpvN8d","bbc.in,",BBC Breaking News,BBCBreaking,True,"London, UK",51564554,3,38658,5443,222,303,1381,#,#,#,#,#,#,#,#,#,#
576326,2021-03-01 14:32:35-08:00,1366516745725308929,1,48325671,"PBS reporting Donald and Melania Trump got the vaccine in secret, before leaving the White House.

Is anyone surprised that people who Really Don't Care are the first to cut in line? https://t.co/vNNFTa1pmG","twitter.com,",Chip Franklin.com,chipfranklin,True,California,331692,67974,37863,5312,137,459,1489,#,#,#,#,#,#,#,#,#,#
561891,2021-03-01 14:01:47-08:00,1366508993649123328,1,50393960,"Delivering vaccines to those who need them most, no matter where they live or how much money they have, is the only way to end the pandemic and begin the recovery. This is an important milestone. https://t.co/PY5kjk63wr","twitter.com,",Bill Gates,BillGates,True,"Seattle, WA",61559486,531,4146,4978,140,0,565,#,#,#,#,#,#,#,#,quoted,1366390436101828608
433973,2021-03-01 17:49:06+00:00,1366445403772747787,1,43878033,"NEW: today’s update of UK vaccine effect

Safe to say the effect on cases has moved from ""maybe"" to ""definitely"" 💉📉💪😀

As predicted, that has been driven by a slowdown in the rate of decrease among unvaccinated groups, while rates among vaccinated keep marching downwards https://t.co/60aqpVk383","twitter.com,",John Burn-Murdoch,jburnmurdoch,True,Doncaster ➡️ London,455698,5130,58914,4949,263,108,1389,#,#,#,#,#,#,#,#,#,#
133969,2021-03-01 11:08:17+05:30,1366261490769035270,1,158588740,"Article 51A of the Constitution expects all Indians to develop scientific temper and it is one of our fundamental duties to have faith in what scientists are telling. 

By taking the vaccine PM @narendramodi has done his duty. 

It is now our turn to follow. https://t.co/yAkzwcuVlD","twitter.com,",Shah Faesal,shahfaesal,True,Srinagar Kashmir,179760,2957,2988,4879,126,196,443,#,#,#,18839785,narendramodi,#,#,#,quoted,1366200664402006016
209171,2021-03-01 14:37:30+05:30,1366314141368021001,1,355989081,"Nepal's Chief of Army Staff Purna Chandra Thapa receives his first dose of Made in India vaccine.

(Pic source: Nepal Army)

#COVID19Vaccine https://t.co/7jfF7JjUIO","twitter.com,",ANI,ANI,True,India,7504806,0,621645,4876,14,23,312,#,#,#,#,#,#,#,#,#,#
58142,2021-03-01 08:08:46+05:30,1366216313513799681,1,817976607398731776,"PM Modi addresses vaccine hesitancy, gets Bharat Biotech's Covaxin jab

Read @ANI Story | https://t.co/QqiiFdcwEo https://t.co/rXs4b3DOq0","aninews.in,twitter.com,",ANI Digital,ani_digital,True,Hindistan,336722,0,72256,4669,68,44,433,#,#,#,355989081,ANI,#,#,#,#,#
73772,2021-03-01 08:42:47+05:30,1366224873681346563,1,1934388686,A good leader leads from the front! Proud of having a PM like @narendramodi https://t.co/zzj08cm3B0,"twitter.com,",Shefali Vaidya. 🇮🇳,ShefVaidya,True,"Pune, Maharashtra",664520,4213,137308,4525,5,25,541,#,#,#,18839785,narendramodi,#,#,#,quoted,1366200664402006016
335373,2021-03-01 08:40:29-06:00,1366397939967483906,1,4696552878,"Black and brown people have been hardest hit by this pandemic yet @GovParsonMO is refusing to provide adequate vaccine access to our communities.

I requested MO’s vaccine equity plan weeks ago to make sure this wouldn’t happen. I’m still waiting for it.

We need answers. Now. https://t.co/lgXGquGCMV","twitter.com,",Cori Bush,CoriBush,True,"St Louis, MO",862711,2088,8597,4320,46,84,1012,#,#,#,1003672320781807616,GovParsonMO,#,#,#,quoted,1366024555261812737
49467,#,1366211350083432454,1,5370122,"I feel bad for our healthcare workers. The informed consent waivers they signed were for Pfizer, but the govt pulled a bait-and-switch on them to use an inferior vaccine whose manufacturers cherrypicked data to publish.",#,✨️Solgen Heussaff✨️,noelledeg,False,nose stuck in a book,3737,938,113299,4247,82,15,1029,#,#,#,#,#,#,#,#,#,#
121447,2021-03-01 10:33:01+05:30,1366252614665519104,1,935142655213703168,With looks of Rabindranath Tagore from West Bengal. Is the Photographer from Tamil Nadu??? 🤔 https://t.co/lQGhbSN2yM,"twitter.com,",Mohammed Zubair,zoo_bear,True,Hindistan,615078,2832,76668,4229,25,166,515,#,#,#,#,#,#,#,#,quoted,1366213133941923841
32360,2021-03-01 07:11:24+05:30,1366201874920075266,1,355989081,"Took my first dose of the #COVID19 vaccine at AIIMS. Remarkable how our doctors &amp; scientists have worked in quick time to strengthen the global fight against COVID-19. I appeal to all those who are eligible to take the vaccine. Together, let us make India COVID-19 free!: PM Modi https://t.co/axesfYA6ye","twitter.com,",ANI,ANI,True,India,7279302,0,593279,4225,49,47,434,#,#,#,#,#,355989081,1366201377953746944,ANI,replied_to,1366201377953746944
174823,2021-03-01 13:00:30+05:30,1366289729432526849,1,44588485,"India handled Covid better than many other countries.
India will now  handle vaccination better than many other countries.

All the best to all Indians as we enter the next phase of vaccination!

Stay healthy. Stay compassionate. When it's your turn, get your vaccine!",#,Chetan Bhagat,chetan_bhagat,True,Mumbai,12523663,170,16594,3993,22,70,292,#,#,#,#,#,#,#,#,#,#
143675,2021-03-01 11:36:45+05:30,1366268653633564674,1,1419020654,"PM Modi inspires Indians, it good that he is getting vaccinated publicly, will help in improving people confidence in Vaccine.",#,Ishkaran Singh Bhandari,ishkarnBHANDARI,False,Delhi,395208,358,7112,3941,5,47,362,#,#,#,#,#,#,#,#,#,#
377102,2021-03-01 11:03:14-05:00,1366418763101396997,1,14307494,"1/ A year ago this month, I was hospitalized with #covid19 at @nyulangone for 17 days, including 6 on a ventilator.

Today I returned to give blood for a research study I’m participating in, run out of the #Vaccine Center. 

#COVID19Vaccine #Covid https://t.co/7P2o1AX5PN","twitter.com,",David Lat,DavidLat,True,"New Jersey, USA",97215,9859,33316,3917,12,79,199,#,#,#,47671377,nyulangone,#,#,#,#,#
439596,2021-03-01 10:59:35-07:00,1366448043483013123,1,3291691,"A Biological Patriot Act is coming.

NYC, Europe and many others will soon require proof of vaccination.

Anti-vaxxer’s will have a difficult choice: get vaccinated or get discriminated.

https://t.co/T4AyX5BFec","techcrunch.com,",Chamath Palihapitiya,chamath,True,CA,1633838,720,7976,3723,300,950,691,#,#,#,#,#,#,#,#,#,#
182972,2021-03-01 13:23:09+05:30,1366295430045130753,1,635895185,PM Modi's decision to take Bharat Biotech's vaccine is a shot in the arm for Atmanirbhar Bharat. It will also lay to rest controversy over its efficacy and safety.,#,Rahul Shivshankar,RShivshankar,True,New Delhi,203197,620,56330,3714,7,39,453,#,#,#,#,#,#,#,#,#,#
354376,#,1366407686091378690,1,93476253,Here's a headline for you: Black vax hesitancy has dropped by half over the past three months. GOP hesitancy has barely budged.,#,Deen Freelon,dfreelon,True,Chapel Hill/Zoom,14918,3013,17273,3668,9,42,724,#,#,#,#,#,93476253,1366397218052321285,dfreelon,replied_to,1366397218052321285
35319,2021-03-01 07:17:45+05:30,1366203474359111684,1,355989081,"Sister P Niveda, from Puducherry, administered COVAXIN (Bharat BioTech) to PM Modi.

#COVID19Vaccine",#,ANI,ANI,True,India,7279302,0,593279,3639,97,70,382,#,#,#,#,#,355989081,1366201874920075266,ANI,replied_to,1366201874920075266
449851,2021-03-01 18:18:25+00:00,1366452780542615553,1,459390022,"Great! So a vaccine that has far higher take-up and is much more effective than the trials suggested... So that means we can come out of lockdown more quickly, right? Right? Right? Is anyone there? Hellooooo? Anyone? https://t.co/VFt65Cksvd","twitter.com,",Julia Hartley-Brewer,JuliaHB1,True,London,420806,423,150870,3633,28,367,474,#,#,#,#,#,#,#,#,#,#
129657,2021-03-01 10:55:24+05:30,1366258245837316099,1,46645746,Losers searching for a new propaganda against vaccine after #PMModi gets vaccine.,#,Pranav Mahajan,pranavmahajan,True,"Delhi, Jammu",83561,1994,5653,3621,4,49,392,#,#,#,#,#,#,#,#,#,#
